case:concept:name,concept:name,time:timestamp,Variant,Variant index,(case) creator,(case) variant,(case) variant-index,Resource,Variant,Variant2_index,Variant3,customer,lifecycle:transition,product,responsible_section,seriousness,seriousness_2,service_level,service_type,support_section,workgroup
Case1225,Closed,20:25.0,Variant 5,5,Fluxicon Disco,Variant 5,5,Value 5,Variant 5,5,Variant 5,Value 231,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1226,Assign seriousness,12:21.0,Variant 8,8,Fluxicon Disco,Variant 8,8,Value 1,Variant 8,8,Variant 8,Value 91,complete,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1226,Resolve ticket,47:35.0,Variant 8,8,Fluxicon Disco,Variant 8,8,Value 1,Variant 8,8,Variant 8,Value 91,complete,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1226,Resolve ticket,47:35.0,Variant 8,8,Fluxicon Disco,Variant 8,8,Value 1,Variant 8,8,Variant 8,Value 91,complete,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1226,Closed,20:33.0,Variant 8,8,Fluxicon Disco,Variant 8,8,Value 5,Variant 8,8,Variant 8,Value 91,complete,Value 12,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1227,Assign seriousness,20:28.0,Variant 22,22,Fluxicon Disco,Variant 22,22,Value 8,Variant 22,22,Variant 22,Value 97,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1227,Take in charge ticket,44:10.0,Variant 22,22,Fluxicon Disco,Variant 22,22,Value 2,Variant 22,22,Variant 22,Value 97,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1227,Wait,25:06.0,Variant 22,22,Fluxicon Disco,Variant 22,22,Value 2,Variant 22,22,Variant 22,Value 97,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1227,Take in charge ticket,28:01.0,Variant 22,22,Fluxicon Disco,Variant 22,22,Value 2,Variant 22,22,Variant 22,Value 97,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1227,Wait,38:40.0,Variant 22,22,Fluxicon Disco,Variant 22,22,Value 2,Variant 22,22,Variant 22,Value 97,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1227,Take in charge ticket,25:28.0,Variant 22,22,Fluxicon Disco,Variant 22,22,Value 2,Variant 22,22,Variant 22,Value 97,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1227,Resolve ticket,25:39.0,Variant 22,22,Fluxicon Disco,Variant 22,22,Value 2,Variant 22,22,Variant 22,Value 97,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1227,Closed,20:14.0,Variant 22,22,Fluxicon Disco,Variant 22,22,Value 5,Variant 22,22,Variant 22,Value 97,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1228,Assign seriousness,29:52.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 8,Variant 1,1,Variant 1,Value 9,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1228,Take in charge ticket,36:37.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 6,Variant 1,1,Variant 1,Value 9,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1228,Resolve ticket,37:31.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 6,Variant 1,1,Variant 1,Value 9,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1228,Closed,30:37.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 9,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1229,Assign seriousness,49:23.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 28,complete,Value 1,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case1229,Take in charge ticket,49:32.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 28,complete,Value 1,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case1229,Resolve ticket,31:08.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 28,complete,Value 1,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case1229,Closed,50:30.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 28,complete,Value 1,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case123,Assign seriousness,33:07.0,Variant 3,3,Fluxicon Disco,Variant 3,3,Value 8,Variant 3,3,Variant 3,Value 73,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case123,Take in charge ticket,33:39.0,Variant 3,3,Fluxicon Disco,Variant 3,3,Value 8,Variant 3,3,Variant 3,Value 73,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case123,Wait,55:50.0,Variant 3,3,Fluxicon Disco,Variant 3,3,Value 9,Variant 3,3,Variant 3,Value 73,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case123,Take in charge ticket,45:43.0,Variant 3,3,Fluxicon Disco,Variant 3,3,Value 9,Variant 3,3,Variant 3,Value 73,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case123,Resolve ticket,45:54.0,Variant 3,3,Fluxicon Disco,Variant 3,3,Value 9,Variant 3,3,Variant 3,Value 73,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case123,Closed,30:40.0,Variant 3,3,Fluxicon Disco,Variant 3,3,Value 5,Variant 3,3,Variant 3,Value 73,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1230,Assign seriousness,34:10.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 13,Variant 1,1,Variant 1,Value 172,complete,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1230,Take in charge ticket,34:20.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 13,Variant 1,1,Variant 1,Value 172,complete,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1230,Resolve ticket,49:30.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 13,Variant 1,1,Variant 1,Value 172,complete,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1230,Closed,49:47.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 3,Variant 1,1,Variant 1,Value 172,complete,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1231,Assign seriousness,10:17.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 18,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1231,Take in charge ticket,31:56.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 7,Variant 1,1,Variant 1,Value 18,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1231,Resolve ticket,32:05.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 7,Variant 1,1,Variant 1,Value 18,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1231,Closed,20:23.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 18,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1232,Assign seriousness,44:24.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 59,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1232,Take in charge ticket,16:30.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 7,Variant 1,1,Variant 1,Value 59,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1232,Resolve ticket,16:43.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 7,Variant 1,1,Variant 1,Value 59,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1232,Closed,50:21.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 59,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1233,Assign seriousness,05:06.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 1,Variant 1,1,Variant 1,Value 59,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1233,Take in charge ticket,04:31.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 15,Variant 1,1,Variant 1,Value 59,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1233,Resolve ticket,10:47.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 1,Variant 1,1,Variant 1,Value 59,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1233,Closed,10:38.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 59,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1234,Assign seriousness,31:45.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 9,Variant 2,2,Variant 2,Value 63,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1234,Take in charge ticket,42:21.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 9,Variant 2,2,Variant 2,Value 63,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1234,Wait,11:46.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 9,Variant 2,2,Variant 2,Value 63,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1234,Resolve ticket,35:08.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 9,Variant 2,2,Variant 2,Value 63,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1234,Closed,00:21.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 5,Variant 2,2,Variant 2,Value 63,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1235,Assign seriousness,17:09.0,Variant 14,14,Fluxicon Disco,Variant 14,14,Value 1,Variant 14,14,Variant 14,Value 271,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1235,Take in charge ticket,53:27.0,Variant 14,14,Fluxicon Disco,Variant 14,14,Value 2,Variant 14,14,Variant 14,Value 271,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1235,Wait,55:35.0,Variant 14,14,Fluxicon Disco,Variant 14,14,Value 14,Variant 14,14,Variant 14,Value 271,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1235,Wait,53:09.0,Variant 14,14,Fluxicon Disco,Variant 14,14,Value 14,Variant 14,14,Variant 14,Value 271,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1235,Resolve ticket,08:28.0,Variant 14,14,Fluxicon Disco,Variant 14,14,Value 20,Variant 14,14,Variant 14,Value 271,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1235,Closed,08:46.0,Variant 14,14,Fluxicon Disco,Variant 14,14,Value 3,Variant 14,14,Variant 14,Value 271,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1236,Assign seriousness,58:38.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 2,Variant 2,2,Variant 2,Value 272,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1236,Take in charge ticket,24:34.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 2,Variant 2,2,Variant 2,Value 272,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1236,Wait,27:16.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 2,Variant 2,2,Variant 2,Value 272,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1236,Resolve ticket,51:07.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 2,Variant 2,2,Variant 2,Value 272,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1236,Closed,51:15.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 5,Variant 2,2,Variant 2,Value 272,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1237,Assign seriousness,13:24.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 9,Variant 1,1,Variant 1,Value 17,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1237,Take in charge ticket,24:50.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 17,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1237,Resolve ticket,33:08.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 17,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1237,Closed,20:40.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 17,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1238,Assign seriousness,07:02.0,Variant 79,79,Fluxicon Disco,Variant 79,79,Value 2,Variant 78,78,Variant 78,Value 273,complete,Value 1,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case1238,Take in charge ticket,19:03.0,Variant 79,79,Fluxicon Disco,Variant 79,79,Value 2,Variant 78,78,Variant 78,Value 273,complete,Value 1,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case1238,Wait,15:41.0,Variant 79,79,Fluxicon Disco,Variant 79,79,Value 9,Variant 78,78,Variant 78,Value 273,complete,Value 1,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case1238,Require upgrade,51:04.0,Variant 79,79,Fluxicon Disco,Variant 79,79,Value 9,Variant 78,78,Variant 78,Value 273,complete,Value 1,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case1238,Resolve ticket,34:46.0,Variant 79,79,Fluxicon Disco,Variant 79,79,Value 9,Variant 78,78,Variant 78,Value 273,complete,Value 1,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case1238,Closed,35:00.0,Variant 79,79,Fluxicon Disco,Variant 79,79,Value 3,Variant 78,78,Variant 78,Value 273,complete,Value 1,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case1239,Assign seriousness,41:38.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 4,Variant 2,2,Variant 2,Value 59,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1239,Take in charge ticket,04:56.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 4,Variant 2,2,Variant 2,Value 59,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1239,Wait,24:11.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 4,Variant 2,2,Variant 2,Value 59,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1239,Resolve ticket,21:41.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 4,Variant 2,2,Variant 2,Value 59,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1239,Closed,22:01.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 3,Variant 2,2,Variant 2,Value 59,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case124,Assign seriousness,31:32.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 1,Variant 1,1,Variant 1,Value 7,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case124,Take in charge ticket,47:21.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 11,Variant 1,1,Variant 1,Value 7,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case124,Resolve ticket,47:30.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 11,Variant 1,1,Variant 1,Value 7,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case124,Closed,40:33.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 7,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1240,Assign seriousness,36:24.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 9,complete,Value 3,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case1240,Take in charge ticket,36:40.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 9,complete,Value 3,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case1240,Resolve ticket,10:14.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 9,complete,Value 3,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case1240,Closed,40:53.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 9,complete,Value 3,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case1241,Assign seriousness,15:54.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 8,Variant 1,1,Variant 1,Value 107,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1241,Take in charge ticket,24:34.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 107,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1241,Resolve ticket,58:46.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 15,Variant 1,1,Variant 1,Value 107,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1241,Closed,39:44.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 107,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1242,Assign seriousness,32:39.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 9,Variant 1,1,Variant 1,Value 75,complete,Value 3,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case1242,Take in charge ticket,20:03.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 75,complete,Value 3,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case1242,Resolve ticket,20:38.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 75,complete,Value 3,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case1242,Closed,20:54.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 75,complete,Value 3,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case1243,Assign seriousness,14:17.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 8,Variant 1,1,Variant 1,Value 36,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1243,Take in charge ticket,15:05.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 8,Variant 1,1,Variant 1,Value 36,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1243,Resolve ticket,22:45.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 36,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1243,Closed,20:33.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 36,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1244,Assign seriousness,28:01.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 1,Variant 1,1,Variant 1,Value 92,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1244,Take in charge ticket,30:54.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 6,Variant 1,1,Variant 1,Value 92,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1244,Resolve ticket,34:14.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 6,Variant 1,1,Variant 1,Value 92,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1244,Closed,31:09.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 92,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1245,Assign seriousness,28:06.0,Variant 102,102,Fluxicon Disco,Variant 102,102,Value 15,Variant 124,124,Variant 124,Value 22,complete,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 3,Value 1
Case1245,Take in charge ticket,14:59.0,Variant 102,102,Fluxicon Disco,Variant 102,102,Value 15,Variant 124,124,Variant 124,Value 22,complete,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 3,Value 1
Case1245,Wait,15:11.0,Variant 102,102,Fluxicon Disco,Variant 102,102,Value 15,Variant 124,124,Variant 124,Value 22,complete,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 3,Value 1
Case1245,Take in charge ticket,27:31.0,Variant 102,102,Fluxicon Disco,Variant 102,102,Value 15,Variant 124,124,Variant 124,Value 22,complete,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 3,Value 1
Case1245,Resolve ticket,27:39.0,Variant 102,102,Fluxicon Disco,Variant 102,102,Value 15,Variant 124,124,Variant 124,Value 22,complete,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 3,Value 1
Case1245,Take in charge ticket,37:15.0,Variant 102,102,Fluxicon Disco,Variant 102,102,Value 15,Variant 124,124,Variant 124,Value 22,complete,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 3,Value 1
Case1245,Wait,37:26.0,Variant 102,102,Fluxicon Disco,Variant 102,102,Value 15,Variant 124,124,Variant 124,Value 22,complete,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 3,Value 1
Case1245,Take in charge ticket,28:29.0,Variant 102,102,Fluxicon Disco,Variant 102,102,Value 2,Variant 124,124,Variant 124,Value 22,complete,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 3,Value 1
Case1245,Create SW anomaly,28:37.0,Variant 102,102,Fluxicon Disco,Variant 102,102,Value 2,Variant 124,124,Variant 124,Value 22,complete,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 3,Value 1
Case1245,Resolve ticket,18:56.0,Variant 102,102,Fluxicon Disco,Variant 102,102,Value 15,Variant 124,124,Variant 124,Value 22,complete,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 3,Value 1
Case1245,Take in charge ticket,14:05.0,Variant 102,102,Fluxicon Disco,Variant 102,102,Value 15,Variant 124,124,Variant 124,Value 22,complete,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 3,Value 1
Case1245,Resolve ticket,16:05.0,Variant 102,102,Fluxicon Disco,Variant 102,102,Value 15,Variant 124,124,Variant 124,Value 22,complete,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 3,Value 1
Case1245,Closed,16:18.0,Variant 102,102,Fluxicon Disco,Variant 102,102,Value 5,Variant 124,124,Variant 124,Value 22,complete,Value 3,Value 3,Value 1,Value 2,Value 2,Value 1,Value 3,Value 1
Case1246,Assign seriousness,23:56.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 14,Variant 2,2,Variant 2,Value 134,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1246,Take in charge ticket,22:19.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 9,Variant 2,2,Variant 2,Value 134,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1246,Wait,46:37.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 9,Variant 2,2,Variant 2,Value 134,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1246,Resolve ticket,00:47.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 9,Variant 2,2,Variant 2,Value 134,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1246,Closed,01:04.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 3,Variant 2,2,Variant 2,Value 134,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1247,Assign seriousness,24:44.0,Variant 3,3,Fluxicon Disco,Variant 3,3,Value 9,Variant 3,3,Variant 3,Value 27,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1247,Take in charge ticket,04:00.0,Variant 3,3,Fluxicon Disco,Variant 3,3,Value 9,Variant 3,3,Variant 3,Value 27,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1247,Wait,04:40.0,Variant 3,3,Fluxicon Disco,Variant 3,3,Value 9,Variant 3,3,Variant 3,Value 27,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1247,Take in charge ticket,24:32.0,Variant 3,3,Fluxicon Disco,Variant 3,3,Value 9,Variant 3,3,Variant 3,Value 27,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1247,Resolve ticket,25:14.0,Variant 3,3,Fluxicon Disco,Variant 3,3,Value 9,Variant 3,3,Variant 3,Value 27,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1247,Closed,30:17.0,Variant 3,3,Fluxicon Disco,Variant 3,3,Value 5,Variant 3,3,Variant 3,Value 27,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1248,Assign seriousness,03:25.0,Variant 14,14,Fluxicon Disco,Variant 14,14,Value 1,Variant 14,14,Variant 14,Value 145,complete,Value 1,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case1248,Take in charge ticket,52:16.0,Variant 14,14,Fluxicon Disco,Variant 14,14,Value 4,Variant 14,14,Variant 14,Value 145,complete,Value 1,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case1248,Wait,50:22.0,Variant 14,14,Fluxicon Disco,Variant 14,14,Value 4,Variant 14,14,Variant 14,Value 145,complete,Value 1,Value 1,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
